,song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2909,Something Changed,Pulp,7bMzmTr9ZDGEiAq3r9u3mR,28,0.546,0.733,7,-6.551,1,0.0308,0.0198,0.00614,0.257,0.487,120.564,audio_features,7bMzmTr9ZDGEiAq3r9u3mR,spotify:track:7bMzmTr9ZDGEiAq3r9u3mR,https://api.spotify.com/v1/tracks/7bMzmTr9ZDGEiAq3r9u3mR,https://api.spotify.com/v1/audio-analysis/7bMzmTr9ZDGEiAq3r9u3mR,198800,4
2910,Something Good,alt-J,3xqxETvPg43KWP0HOGiOmu,61,0.682,0.581,7,-10.339,1,0.0295,0.714,0.323,0.0802,0.539,108.98,audio_features,3xqxETvPg43KWP0HOGiOmu,spotify:track:3xqxETvPg43KWP0HOGiOmu,https://api.spotify.com/v1/tracks/3xqxETvPg43KWP0HOGiOmu,https://api.spotify.com/v1/audio-analysis/3xqxETvPg43KWP0HOGiOmu,217320,4
2911,Something In The Way,Nirvana,1nFtiJxYdhtFfFtfXBv06s,73,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,audio_features,1nFtiJxYdhtFfFtfXBv06s,spotify:track:1nFtiJxYdhtFfFtfXBv06s,https://api.spotify.com/v1/tracks/1nFtiJxYdhtFfFtfXBv06s,https://api.spotify.com/v1/audio-analysis/1nFtiJxYdhtFfFtfXBv06s,232147,4
2912,Something / Blue Jay Way,The Beatles,0LnvAT4La0KdNk9oQScNTG,41,0.332,0.402,0,-10.795,1,0.0308,0.169,6.98e-05,0.385,0.112,133.848,audio_features,0LnvAT4La0KdNk9oQScNTG,spotify:track:0LnvAT4La0KdNk9oQScNTG,https://api.spotify.com/v1/tracks/0LnvAT4La0KdNk9oQScNTG,https://api.spotify.com/v1/audio-analysis/0LnvAT4La0KdNk9oQScNTG,209701,4
2913,Sometimes I'd Borrow...Those Still Exist - Anthology 1 Version,Paul McCartney,4c2liWgvHai8TW45FAwxG6,2,0.581,0.211,7,-23.216,1,0.518,0.993,1.37e-05,0.276,0.954,117.022,audio_features,4c2liWgvHai8TW45FAwxG6,spotify:track:4c2liWgvHai8TW45FAwxG6,https://api.spotify.com/v1/tracks/4c2liWgvHai8TW45FAwxG6,https://api.spotify.com/v1/audio-analysis/4c2liWgvHai8TW45FAwxG6,17947,4
2914,Somewhere Else,Kafka Tamura,0fNz1ajbJcj8jn6eYemdcr,0,0.669,0.494,4,-9.039,0,0.0566,0.784,2.61e-05,0.0807,0.164,100.927,audio_features,0fNz1ajbJcj8jn6eYemdcr,spotify:track:0fNz1ajbJcj8jn6eYemdcr,https://api.spotify.com/v1/tracks/0fNz1ajbJcj8jn6eYemdcr,https://api.spotify.com/v1/audio-analysis/0fNz1ajbJcj8jn6eYemdcr,200589,4
2915,Somewhere Else - Reprise,Kafka Tamura,1cZhg4CXrC5yP9oRqVt5hY,0,0.593,0.281,9,-15.021,0,0.0448,0.974,0.0127,0.111,0.153,81.832,audio_features,1cZhg4CXrC5yP9oRqVt5hY,spotify:track:1cZhg4CXrC5yP9oRqVt5hY,https://api.spotify.com/v1/tracks/1cZhg4CXrC5yP9oRqVt5hY,https://api.spotify.com/v1/audio-analysis/1cZhg4CXrC5yP9oRqVt5hY,119302,4
2916,Somewhere Over the Rainbow,Jake Shimabukuro,3yACY5F6Q8jTq3qxBr3EhS,0,0.407,0.277,5,-14.616,1,0.0609,0.982,0.62,0.0879,0.0783,82.114,audio_features,3yACY5F6Q8jTq3qxBr3EhS,spotify:track:3yACY5F6Q8jTq3qxBr3EhS,https://api.spotify.com/v1/tracks/3yACY5F6Q8jTq3qxBr3EhS,https://api.spotify.com/v1/audio-analysis/3yACY5F6Q8jTq3qxBr3EhS,254973,1
2917,sommeil,Stromae,6MLWeN4Ws0JkEJkmGr6VlC,49,0.645,0.621,0,-7.488,1,0.166,0.0827,7.77e-06,0.28,0.421,126.581,audio_features,6MLWeN4Ws0JkEJkmGr6VlC,spotify:track:6MLWeN4Ws0JkEJkmGr6VlC,https://api.spotify.com/v1/tracks/6MLWeN4Ws0JkEJkmGr6VlC,https://api.spotify.com/v1/audio-analysis/6MLWeN4Ws0JkEJkmGr6VlC,218653,4
2918,Son of a Gun,The La's,183RSvBtFAQmLJbtXq82Nk,0,0.667,0.725,10,-6.652,0,0.0294,0.0801,0.000774,0.191,0.91,146.526,audio_features,183RSvBtFAQmLJbtXq82Nk,spotify:track:183RSvBtFAQmLJbtXq82Nk,https://api.spotify.com/v1/tracks/183RSvBtFAQmLJbtXq82Nk,https://api.spotify.com/v1/audio-analysis/183RSvBtFAQmLJbtXq82Nk,117053,4
2919,Son Of A Preacher Man,Dusty Springfield,2qy6RvXurpXtXlPE7cBc2p,0,0.38,0.45,4,-12.269,1,0.103,0.463,0.0,0.0742,0.825,181.44,audio_features,2qy6RvXurpXtXlPE7cBc2p,spotify:track:2qy6RvXurpXtXlPE7cBc2p,https://api.spotify.com/v1/tracks/2qy6RvXurpXtXlPE7cBc2p,https://api.spotify.com/v1/audio-analysis/2qy6RvXurpXtXlPE7cBc2p,146507,4
2920,Son of Three,The Breeders,7d3CFJtoamhBo7iGy3XtU5,0,0.569,0.89,11,-7.47,1,0.0298,0.0111,0.663,0.154,0.829,132.742,audio_features,7d3CFJtoamhBo7iGy3XtU5,spotify:track:7d3CFJtoamhBo7iGy3XtU5,https://api.spotify.com/v1/tracks/7d3CFJtoamhBo7iGy3XtU5,https://api.spotify.com/v1/audio-analysis/7d3CFJtoamhBo7iGy3XtU5,129293,4
2921,Song For Aphrodite,Fly Golden Eagle,22hyt1i2qPOspXsbolHXJG,0,0.241,0.655,9,-7.067,1,0.0348,0.0838,0.91,0.36,0.517,158.307,audio_features,22hyt1i2qPOspXsbolHXJG,spotify:track:22hyt1i2qPOspXsbolHXJG,https://api.spotify.com/v1/tracks/22hyt1i2qPOspXsbolHXJG,https://api.spotify.com/v1/audio-analysis/22hyt1i2qPOspXsbolHXJG,255773,4
2922,Song For No One,Miike Snow,1EJKY2Q5mOJ9OOIVbEGfXy,4,0.709,0.791,0,-6.514,1,0.0365,0.0114,0.0506,0.182,0.608,113.987,audio_features,1EJKY2Q5mOJ9OOIVbEGfXy,spotify:track:1EJKY2Q5mOJ9OOIVbEGfXy,https://api.spotify.com/v1/tracks/1EJKY2Q5mOJ9OOIVbEGfXy,https://api.spotify.com/v1/audio-analysis/1EJKY2Q5mOJ9OOIVbEGfXy,248747,4
2923,Song For No One,Miike Snow,2jjFE3NB1ZBJeFafxvjcue,37,0.463,0.815,0,-6.557,1,0.0408,0.0119,0.0859,0.198,0.616,111.45,audio_features,2jjFE3NB1ZBJeFafxvjcue,spotify:track:2jjFE3NB1ZBJeFafxvjcue,https://api.spotify.com/v1/tracks/2jjFE3NB1ZBJeFafxvjcue,https://api.spotify.com/v1/audio-analysis/2jjFE3NB1ZBJeFafxvjcue,248747,4
2924,Sophie So,Hippo Campus,1KTZw6NMt0rSIPYKYQNEWd,38,0.598,0.717,4,-7.023,1,0.0349,0.0126,6.65e-06,0.237,0.425,127.958,audio_features,1KTZw6NMt0rSIPYKYQNEWd,spotify:track:1KTZw6NMt0rSIPYKYQNEWd,https://api.spotify.com/v1/tracks/1KTZw6NMt0rSIPYKYQNEWd,https://api.spotify.com/v1/audio-analysis/1KTZw6NMt0rSIPYKYQNEWd,205045,4
2925,Sorry For Party Rocking,LMFAO,1w4d3cBOs6fkSeQNSfQTQ8,34,0.6,0.877,5,-4.351,1,0.165,0.00213,0.0,0.413,0.55,133.998,audio_features,1w4d3cBOs6fkSeQNSfQTQ8,spotify:track:1w4d3cBOs6fkSeQNSfQTQ8,https://api.spotify.com/v1/tracks/1w4d3cBOs6fkSeQNSfQTQ8,https://api.spotify.com/v1/audio-analysis/1w4d3cBOs6fkSeQNSfQTQ8,203973,4
