,song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2849,Seneca Falls,The Distillers,1wDfhmlEvVEbQnEIdMRfvf,49,0.194,0.983,9,-3.216,1,0.0951,0.000159,1.17e-05,0.362,0.411,154.841,audio_features,1wDfhmlEvVEbQnEIdMRfvf,spotify:track:1wDfhmlEvVEbQnEIdMRfvf,https://api.spotify.com/v1/tracks/1wDfhmlEvVEbQnEIdMRfvf,https://api.spotify.com/v1/audio-analysis/1wDfhmlEvVEbQnEIdMRfvf,181533,4
2850,City Of Angels,The Distillers,4D7sweC53ikn2HrABdrvdm,0,0.486,0.971,2,-3.294,1,0.0694,0.00335,0.0,0.389,0.377,100.264,audio_features,4D7sweC53ikn2HrABdrvdm,spotify:track:4D7sweC53ikn2HrABdrvdm,https://api.spotify.com/v1/tracks/4D7sweC53ikn2HrABdrvdm,https://api.spotify.com/v1/audio-analysis/4D7sweC53ikn2HrABdrvdm,209627,4
2851,Only the Lonely,Roy Orbison,0PkBTqRtN25z3oKasWoKlj,68,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,audio_features,0PkBTqRtN25z3oKasWoKlj,spotify:track:0PkBTqRtN25z3oKasWoKlj,https://api.spotify.com/v1/tracks/0PkBTqRtN25z3oKasWoKlj,https://api.spotify.com/v1/audio-analysis/0PkBTqRtN25z3oKasWoKlj,145533,4
2852,Death Knows Where,In Solitude,0vIXP5GErDKsDf8j2WquhK,21,0.379,0.973,7,-4.343,1,0.0831,0.0278,0.619,0.242,0.377,149.928,audio_features,0vIXP5GErDKsDf8j2WquhK,spotify:track:0vIXP5GErDKsDf8j2WquhK,https://api.spotify.com/v1/tracks/0vIXP5GErDKsDf8j2WquhK,https://api.spotify.com/v1/audio-analysis/0vIXP5GErDKsDf8j2WquhK,277027,4
2853,Pallid Hands,In Solitude,4RX3OTNFlsqPcY9BvDYnYF,19,0.415,0.935,7,-5.136,1,0.0774,0.00193,0.0992,0.0839,0.46,137.021,audio_features,4RX3OTNFlsqPcY9BvDYnYF,spotify:track:4RX3OTNFlsqPcY9BvDYnYF,https://api.spotify.com/v1/tracks/4RX3OTNFlsqPcY9BvDYnYF,https://api.spotify.com/v1/audio-analysis/4RX3OTNFlsqPcY9BvDYnYF,352933,4
2854,Sister Cities,The Wonder Years,6N0oSpjYbBGJMrwVMmTQAx,0,0.255,0.872,7,-4.371,1,0.085,2.59e-05,0.00013,0.0347,0.381,179.78,audio_features,6N0oSpjYbBGJMrwVMmTQAx,spotify:track:6N0oSpjYbBGJMrwVMmTQAx,https://api.spotify.com/v1/tracks/6N0oSpjYbBGJMrwVMmTQAx,https://api.spotify.com/v1/audio-analysis/6N0oSpjYbBGJMrwVMmTQAx,181000,4
2855,Save Everything,Coliseum,6vHu89UnLB7oAZWbCCwNfm,0,0.467,0.934,5,-5.306,1,0.0359,0.000958,0.0131,0.232,0.788,90.663,audio_features,6vHu89UnLB7oAZWbCCwNfm,spotify:track:6vHu89UnLB7oAZWbCCwNfm,https://api.spotify.com/v1/tracks/6vHu89UnLB7oAZWbCCwNfm,https://api.spotify.com/v1/audio-analysis/6vHu89UnLB7oAZWbCCwNfm,231293,4
2856,Sister Faith,Coliseum,032f7bmfeuuFd3Z3JEYLO8,0,0.425,0.981,9,-4.468,0,0.0681,0.00127,0.0058,0.348,0.614,166.059,audio_features,032f7bmfeuuFd3Z3JEYLO8,spotify:track:032f7bmfeuuFd3Z3JEYLO8,https://api.spotify.com/v1/tracks/032f7bmfeuuFd3Z3JEYLO8,https://api.spotify.com/v1/audio-analysis/032f7bmfeuuFd3Z3JEYLO8,240614,4
2857,Everything Zen - Remastered,Bush,4gawTLtYS4aVK7xqKZHkJJ,0,0.482,0.85,0,-4.397,1,0.0473,0.00034,0.00211,0.124,0.394,134.21,audio_features,4gawTLtYS4aVK7xqKZHkJJ,spotify:track:4gawTLtYS4aVK7xqKZHkJJ,https://api.spotify.com/v1/tracks/4gawTLtYS4aVK7xqKZHkJJ,https://api.spotify.com/v1/audio-analysis/4gawTLtYS4aVK7xqKZHkJJ,278133,4
2858,Little Things - Remastered,Bush,2Vd8uLBFSJVRu20OGp6LYG,0,0.367,0.945,7,-3.252,1,0.0705,0.00014,0.0,0.169,0.216,112.63,audio_features,2Vd8uLBFSJVRu20OGp6LYG,spotify:track:2Vd8uLBFSJVRu20OGp6LYG,https://api.spotify.com/v1/tracks/2Vd8uLBFSJVRu20OGp6LYG,https://api.spotify.com/v1/audio-analysis/2Vd8uLBFSJVRu20OGp6LYG,264227,4
